Publication,Category,Website Traffic (Visitors),Application Form,Pay Range Per Article
Babylist,Family and Finance,10.5 million monthly,Finance freelancers: https://docs.google.com/forms/d/e/1FAIpQLSdiXp0yUoB8Q4wM9FwVY1DdywApcabI0O4YV2CeMVrjH0j8pA/viewform,"$500 to $2,000 per article. "
FinanceBuzz,Finance,21.7 million monthly,Finance and money freelancers: https://docs.google.com/forms/d/e/1FAIpQLSdBUGk93XMyXET7uRkbVJgSHEIF_LOCQp9_CisxNzSjurkUqA/viewform,$1 to $2 per word.
Fuller,Family,"100,000 monthly",Motherhood: https://form.asana.com/?k=lvkeBd9fzKVL5-Ey_OPQ8w&d=318624707713691,"$150 to $1,500 per article."
Harvard Business Review,Business/Careers,4.6 million monthly,Form: https://hbr.org/guidelines-for-authors,"$1 to $3 per word 
$10,000 to $15,000 per video article."
HuffPost,All Topics,38 million monthly ,Family & Relationship: https://docs.google.com/forms/d/e/1FAIpQLSdVVTTGdo9CfZN4FUujM5hODF1RVsfTRvnguCB9QiXYnod8jw/viewform,"$250 to $2,500 per written article
$5,000 to $10,000 per video article."
Business Insider,All Topics,108 million monthly,Relocation Stories (Paige): https://docs.google.com/forms/d/e/1FAIpQLSfsGMi72ItAifPMhnxXwYUe3QxPQcLU2dZZmP8qPvr7Lg2hzw/viewform,"$200 to $1,500 per article 
$5,000 per video article. "
,,,Lifestyle Stories (Lydia Wang): https://docs.google.com/forms/d/e/1FAIpQLSc-l5JMCEQ38SJMF0YIdHRxVuWjtDrP2tt4KVLglbi7O1tmiw/viewform,"$200 to $1,500 per article 
$5,000 per video article."
,,,Lifestyle pitches (Stephanie Pitera Statile): https://docs.google.com/forms/d/e/1FAIpQLSeCMqT9EcTwie1OZylfcaGc12R6PTVa359hveyi5TsT7-95uA/viewform,"$200 to $1,500 per article 
$5,000 per video article."
,,,Lifestyle pitches (Mykenna Maniece): https://docs.google.com/forms/d/e/1FAIpQLSeQkS1wz6wbDCVrwp6d9SjLzFYD7eQzTlpcfZZ4kpHsX3ENqw/viewform,"$200 to $1,500 per article
$5,000 per video article."
Esquire,Men's Topics,16.1 million monthly,Form: https://docs.google.com/forms/d/17D4HEE6X10gcpp76zyngbCIOrPS4nAFVdrCC_t4b8c4/viewform?edit_requested=true,"$1 to $3 per word 
$10,000 to $15,000 per video article."
Fodor's Travel,Travel,1.1 million monthly,Video articles: https://docs.google.com/forms/d/1Z1M2WrxMipDmqix7CgUgFlYRgx5x9zM8c8FvnmSwfuk/viewform,"$200 to $1,500 per article 
$5,000 per video article."
,,,General form: https://forms.gle/VNQktFM9eXfnimoH9,"$200 to $1,500 per article
$5,000 per video article."
Scary Mommy,Parenting,1.6 million monthly,Form: https://docs.google.com/forms/d/e/1FAIpQLSccX7myfNo1XTbMfEIbboQ-BNr2z12L0d0p5HKfttALAKZOxQ/viewform,"$200 to $1,500 per article."
Venture Music ,Music,1.1 million monthly,Form: https://docs.google.com/forms/d/e/1FAIpQLSeeGR9JcMDP9kMNSiDwRP7UvLdDxN3S05U7w5CP0JPG4IwmZg/viewform,"$1,500 to $5,000 per video article 
$200 to $1,500 per article"
SUCCESS,All Topics,"550,000 monthly",Form (News Writers): https://docs.google.com/forms/d/e/1FAIpQLSe2LLmxp7YelF03XCGlLiQHwxsc6KfJPTnYGLuHqPDY5RsKGg/viewform,$100 for 500-words.
More to Her Story,Women's Topics,"100,000 monthly",Form: https://www.moretoherstory.com/pitch,$300 per story. 
The American Scholar,Science,"85,000 monthly",Form: https://theamericanscholar.submittable.com/submit,$300 to $500 per article.
National Geographic,All Topics,8.6 millon monthly,Kids stories form: https://ttj51ygan9g.typeform.com/to/vtdwJSXl?typeform,$1 per word. 
East End Taste,Lifestyle,"55,000 monthly",Lifestyle pitches: https://docs.google.com/forms/d/e/1FAIpQLSdDgUUVeKrfJd7OE_h3gPaUmizfb4teVURqabW-iZPtHUcbWQ/viewform,$150 per article. 
Foreign Policy,Politics,5 million monthly,Politics: https://foreignpolicy.submittable.com/submit,$1 per word. 
Bon Appetit,Lifestyle,6.2 million monthly,Lifestyle and food: https://docs.google.com/forms/d/e/1FAIpQLSeNMWfbQtLilewU3tK444WdaicO0l0JexR2yUEV6G84GBQwHw/viewform,"$1 to $3 per word | $10,000 to $15,000 per video article."
MyHealthTeam,Health,"769,500 monthly",Medical: https://docs.google.com/forms/d/e/1FAIpQLScBYjxkhrG8u0na7xAbJvDH9k9gPxp39QQGpNlpvHirCzpthQ/viewform,$300 per article.
The Washington Post,All Topics,82.5 million monthly,Essays and opinion pieces: https://thewashingtonpost.formstack.com/forms/submit_a_guest_opinion,$1 to $2 per word
