ID,Date,Category,Area,Files Impacted,Type,What Changed,Why,Impact / Blast Radius,Status,Ref
EW-000,2026-06-19,Baseline,repo (whole),—,Audit,"Established elite-writer-v5 as the canonical fine-tune base. Cloned from GitHub at commit 96e5103 (2026-06-14). bud's local /home/user/computer/elite-writer is a DIFFERENT architecture (src/ + supabase + Cloudflare workers + pipeline-viz) and is treated as a feature-donor only, never as a source of deletions from v5.","Two divergent Elite Writer builds existed; readiness work needs one source of truth and a no-deletion rule on the keeper.","Defines scope for all later rows. No code changed.",Done,branch feat/finetune-tracker
EW-001,2026-06-19,Persistence,server + client auth flow,"server/db.ts, server/storage.ts, client/src/hooks",Audit,"v5 todo.md admits the end-to-end persistence test (create -> reload -> verify data survives, while logged in) was never run. Need to prove data survival before claiming 'ready'.","Cannot call the app ready/proven if we have never confirmed a logged-in user's data persists across reload.","Readiness sign-off blocker. Touches auth + DB hydration hook + any page that writes.",Planned,—
EW-002,2026-06-19,UX / Ease-of-use,client/src/pages (34 pages) + sidebar nav,"client/src/pages/*, components/AppLayout.tsx",Audit,"AUDIT DONE. Surface = 31 wired routes across 3 collapsible sidebar sections (Writing Studio 11 / Publish & Distribute 9 / Growth & Operations 11). Strengths already present: per-route ErrorBoundary, sidebar collapse, mobile overlay, localStorage section persistence, auth-gating. State-coverage matrix (heuristic grep across 31 pages): loading ~26/31, error+retry ~24/31, descriptive empty state only ~8/31 (Brands, FeedSources, Giststack, PlanningBoard, Publications, Queue, Research). Biggest gaps: (a) NO global search/jump across 31 destinations — scanning only; (b) empty states missing on most pages; (c) nav item description only visible when active (low discoverability); (d) breadcrumb is fake 2-level 'Studio / Page'.","'Not yet easy to use' is the stated problem. Too many entry points + missing states = confusion.","Findings drive EW-005+ (each a surgical, staged fix). No blind 34-file edit.",In progress,branch feat/finetune-tracker
EW-005,2026-06-19,UX / Ease-of-use,sidebar / global nav,"client/src/components/AppLayout.tsx",Feature,"Added a global command palette (cmdk) to jump to any of the 31 pages. Opens via Cmd/Ctrl+K or a 'Search…' button in the topbar. Items grouped by the 3 nav sections; each searchable by BOTH page name and description (typing 'visibility' finds GEO Suite). Selecting navigates via wouter setLocation and closes. cmdk was already a dependency; reused existing components/ui/command.tsx — no new deps.","Directly attacks audit finding (a): 31 destinations with no way to jump between them except scanning the sidebar. The #1 ease-of-use win.","Additive only — one file (AppLayout), no deletions, no nav data duplicated (reuses NAV_SECTIONS in scope). Validated: tsc 0 errors, 55/55 tests, build clean. Live Cmd+K walkthrough pending a logged-in session (palette renders inside auth-gated AppLayout).",In progress,branch feat/finetune-tracker
EW-003,2026-06-19,Agentic Intelligence,proactive loop + agents page,"server/routers/agentic.ts (+activity query, +PROACTIVE_JOBS_META), client/src/components/agents/AgentActivity.tsx (new), client/src/pages/Agents.tsx (mount + import)",Feature,"Shipped a read-only Agent Activity panel on the Agents page. New tRPC query agentic.activity reads the existing AI Ledger workspace DB via loadDatabases/loadRows/fieldByName and returns cost rollups (today/month/total), budget remaining, per-task rollup, recent runs, and the 7 scheduled jobs + cadence. New AgentActivity.tsx renders it with loading skeleton, error+retry, and an honest empty state. Mounted once below the Context Status Bar.","Agentic intelligence was 'unproven' because invisible — 18 personas + a proactive loop ran with no user-facing proof. This makes the agents observable: what ran, when, what it cost.","Additive only — zero new SQL tables, zero migration, no writes; reuses existing ledger. Validated: tsc 0 errors, 55/55 tests pass, build clean. Live auth-gated verification (protectedProcedure) pending a logged-in session with ledger rows.",In progress,branch feat/finetune-tracker
EW-004,2026-06-19,Tracking,docs/finetune,"docs/finetune/CHANGELOG.csv, docs/finetune/tracker.html",Feature,"Built this change-tracking system: a spreadsheet (CHANGELOG.csv) as source of truth and an interactive HTML page (tracker.html) that renders every change with search, category/status filters, sortable columns, and impact summary.","User asked to see exactly what was impacted, in an interactive HTML page plus a spreadsheet.","Self-contained. No app code touched. Double-click tracker.html to view.",Done,branch feat/finetune-tracker
EW-006,2026-06-19,UX / Ease-of-use,"client/src/pages (state coverage)","client/src/pages/TaskCenter.tsx, client/src/pages/VideoScripts.tsx",Feature,"Added full state coverage (loading skeleton + error-with-retry + descriptive empty state) to the two pages whose collections render blank at zero rows. TaskCenter 'Agent jobs' grid now shows a 4-card skeleton while loading, an Empty with Retry on error, and a descriptive 'No agent jobs yet' Empty that points the user to the one-off task box. VideoScripts format-chip row shows skeleton chips while loading and an inline 'retry' chip on error (no big Empty — the page still works on the default vsl format, so an Empty there would be noise). Both reuse the existing shadcn Empty + Skeleton primitives (previously unused) instead of hand-rolling — honoring build-once. Audit narrowed honestly: Pipeline and ContentCalendar render fixed scaffolds (pipeline steps / 42-cell month grid) so they are never truly blank and were intentionally left unchanged.","Audit finding (b): most pages handle loading/error but the agent-jobs and video-format collections went blank with no message, reading as broken. Empty/loading/error states make the app legible at zero data.","Additive only — 2 files, no deletions, no new deps (Empty + Skeleton already in the repo). Validated: tsc 0 errors, 55/55 tests, build clean. Live-verified 2026-06-21: rendered all three TaskCenter states (loading skeletons / error+Retry / 'No agent jobs yet' empty) and the VideoScripts skeleton + inline-retry chips through a temporary no-login proof route using the real Empty/Skeleton primitives (screenshotted, route + temp file then reverted), and confirmed /tasks renders logged-in after the EW-007 auth fix — no console errors.",Done,branch feat/finetune-tracker
EW-008,2026-06-21,Agentic Intelligence,platform agent registry bridge,"server/lib/supabase-agents.ts (new), server/routers/agentic.ts (+platformAgents query, +import), server/_core/env.ts (+supabaseAnonKey), client/src/components/agents/PlatformAgents.tsx (new), client/src/pages/Agents.tsx (mount + import), .env (local, gitignored)",Feature,"Wired the LIVE self-hosted Command Center Supabase (supabase.insightprofit.live) into the Agent area to prove REAL production agent data. New read-only bridge supabase-agents.ts fetches the real agent registry (ai_agents, filtered category=ai_agent per the Tools-not-Agents taxonomy rule), recent run logs (agent_logs), and AI spend (ai_expense_log) over PostgREST using the low-privilege public ANON key (added supabaseAnonKey to env; never the service-role key locally). New tRPC query agentic.platformAgents exposes it; new PlatformAgents.tsx panel renders it on the Agents page directly below the existing local-ledger AgentActivity panel, with loading/error/'Connect Supabase' not-configured/data states. Uses Promise.allSettled so one renamed external column can't blank the whole panel; corrected ai_expense_log columns to the real schema (agent + created_at, not agent_name/date); index-safe React keys to tolerate genuine duplicate agent names in the registry. This app's own 'Elite Writer Engine' row is highlighted.","User: 'we are using self hosted supabase.insightprofit.live to host all data... we need to connect supabase.insightprofit.live into this area to prove real agent data.' The Agent area previously showed ONLY this app's local MySQL AI Ledger; the live platform registry (562 real agents) was invisible. Chosen approach: 'Both - bridge + run'; this is the bridge half.","Additive only, READ-ONLY (no writes back to Supabase), separate from the local-ledger panel so each source fails/empties independently. No new deps (native fetch). Validated 2026-06-21: tsc 0 errors; 55/55 tests pass; live read proven (562 true agents, Elite Writer Engine active, 5 logs, $1,387.98 all-time spend, top spenders platform/subscription/claude_direct); rendered live in-browser on /agents logged-in with no panel errors (screenshot). Anon key stored in gitignored .env only. The 'run' half (native proactive loop filling the local ledger) still needs a live MySQL DATABASE_URL and is deferred.",Done,branch feat/finetune-tracker
EW-007,2026-06-21,Persistence / Auth,local login + session,"server/db.ts, server/_core/oauth.ts, server/_core/env.ts, server/_core/cookies.ts",Fix,"Made local login work offline so every auth-gated page can be verified without a production DB. Four surgical fixes: (1) db.ts now keeps the admin user in an in-memory store when there's no DATABASE_URL — dev only, gated by ENV.isProduction — so upsertUser/getUserByOpenId stop no-op'ing and login can complete; (2) oauth.ts stops masking EVERY login failure as 'Invalid credentials' in dev and returns the real error message (production still returns the generic message); (3) env.ts defaults cookieSecret to a fixed placeholder in dev so jose JWT signing works offline (prod still requires a real JWT_SECRET); (4) cookies.ts uses SameSite=Lax over plain-http localhost instead of SameSite=None, which browsers silently drop without Secure — that drop is why a 200 login still showed no session.","Login was structurally impossible locally: correct password passed, then the user-write failed with no DB, and the error-masking made it look like a wrong password — blocking live verification of EW-001/003/005/006 for the whole project. The MySQL-vs-Supabase engine question is sidestepped: prod MySQL auth is untouched; this only unblocks local dev.","Dev-only behavior, prod paths unchanged (every fix gated on ENV.isProduction / isSecureRequest). Validated 2026-06-21: tsc 0 errors; POST /api/auth/login -> 200 admin/admin; /api/auth/check -> authenticated:true; /tasks renders logged-in with no console errors. No deletions.",Done,branch feat/finetune-tracker
EW-009,2026-06-21,Agentic Intelligence,proactive loop + local AI Ledger,"server/_core/proactiveAgents.ts (+ensureLedgerDb, recordLedger rewired), .env (local, gitignored: DATABASE_URL + OPENROUTER_API_KEY + WORKSPACE_AGENT_BUDGET), local Docker MySQL (ew-mysql, mysql:8, port 3307)",Feature,"Proved the 'run' half end-to-end: the native proactive agent loop now actually writes real runs to the local AI Ledger. Candidate B chosen (local Docker MySQL = identical engine to prod thepopebot-mysql, so going live = flip DATABASE_URL, zero code change). Stood up container ew-mysql, ran drizzle-kit migrate (core tables), and the ws tables self-create at runtime via ensureWsTables(). Fired the real PROACTIVE_JOBS.modelwatch() job — made real free-first OpenRouter calls (per free-first policy) and judged free-vs-paid (result: free fleet OK, free 5 vs paid 4.8). While verifying, found + fixed a LATENT PRODUCTION BUG: recordLedger() early-returned when the 'AI Ledger' workspace DB did not exist, and NOTHING ever created it — so on any fresh deploy every proactive run silently no-op'd and the ledger stayed empty forever. Added ensureLedgerDb() (mirrors the existing ensureModelWatchDb template: same fields Entry/Task/Model/Tokens in/out/Cost/Date, same self-heal pattern) and rewired recordLedger()'s write path to call it; read-path callers (monthSpend etc.) left untouched (surgical).","User: 'we need to connect supabase... to prove real agent data', chose 'Both - bridge + run', then 'proceed with B' / 'closest to being in full production with no errors'. EW-008 shipped the bridge (read live platform registry); this is the run half — proving THIS app's own agents actually execute and account their cost, not just display someone else's. The ensureLedgerDb fix also makes first-boot production correct.","Additive, no deletions (honors no-deduction rule). proactiveAgents.ts change is one new function + a 3-line write-path swap. .env is gitignored (no secret committed). Validated 2026-06-21: tsc 0 errors; 55/55 tests pass; MySQL holds 3 auto-created ws DBs (AI Ledger, Model Quality Watch, Agent Skills & SOPs — the two standing companions) and AI Ledger = 6 real rows (real models claude-4.6-sonnet / nemotron-3-ultra-550b:free / gpt-oss-120b:free, real tokens, real costs $0.0069-$0.0265, real judge scores); rendered LIVE in-browser on /agents logged-in — Agent Activity panel shows Proactive ON, 6 total runs, $0.0571 spent today/month, $4.94 of $5.00/mo budget left, 'Model watch judge 3x $0.0167' + 'Model watch probe 3x $0.0404' run chips, no console errors (screenshot). Both panels (local ledger + live bridge) now render together. Temp proof harness scripts/_tmp_run_modelwatch.ts deleted after verification.",Done,branch feat/finetune-tracker
