Publication,Website Traffic (Visitors),Call for Pitches,Pay Range Per Article
AzureRoad,1.3 million monthly,Travel and lifestyle pitches: https://www.linkedin.com/feed/update/urn:li:activity:7413957598200283137/,$1 per word.
Babylist,10.5 million monthly,Finance freelancers: https://www.linkedin.com/posts/michelleberninger_freelance-writer-financial-services-activity-7404892912855166977-TI71/,"$500 to $2,000 per article. "
BDG,200 million monthly,"Fashion, beauty, pharma, and braded content: https://www.linkedin.com/posts/marinkatherine_hi-world-are-you-a-freelance-fashion-beauty-share-7425255595311644672-HX8H/","$1,000 to $6,000 per article | $5,000  to $15,000 per video article. "
Business Insider,108 million monthly,Family essays: https://www.linkedin.com/posts/frank-olito-09093812a_freelancers-journorequests-freelance-activity-7391886114917134338-aP1Y/,"$200 to $1,500 per article | $5,000 per video article. "
Business Insider,108 million monthly,"First-person stories about your favorite clothing, shoes, and accessories: https://www.linkedin.com/posts/gabrielle-chase_bi-style-reviews-pitch-call-out-activity-7417651446508208128-1WzJ/","$200 to $1,500 per article | $5,000 per video article. "
Business Insider,108 million monthly,Home and garden: https://www.linkedin.com/posts/kinsley-searles-b601552a0_linkedin-activity-7422014162400239616-Fsq2/,"$200 to $1,500 per article | $5,000 per video article. "
Business Insider,108 million monthly,Life stories  and visual features (Frank): https://www.linkedin.com/feed/update/urn:li:activity:7414358897249128449/,"$200 to $1,500 per article | $5,000 per video article. "
Business Insider,108 million monthly,Lifestyle stories: https://www.linkedin.com/posts/paige-difiore_bi-pitch-call-out-activity-7404902259316379648-69_8/,"$200 to $1,500 per article | $5,000 per video article. "
Business Insider,108 million monthly,Lifestyle stories: https://www.linkedin.com/feed/update/urn:li:activity:7419453109699067904/,"$200 to $1,500 per article | $5,000 per video article. "
Business Insider,108 million monthly,Lifestyle stories: https://www.linkedin.com/posts/lydia-wang-4a1776162_business-insider-lifestyle-pitching-2026-activity-7413951661548711936-_-zw/,"$200 to $1,500 per article | $5,000 per video article. "
